,epoch,LR,mAP,Batch_Size
120,1.0,0.05,0.666,BS_2
121,2.0,0.05,0.694,BS_2
122,3.0,0.05,0.709,BS_2
123,4.0,0.05,0.696,BS_2
124,5.0,0.05,0.716,BS_2
125,6.0,0.05,0.731,BS_2
126,7.0,0.05,0.688,BS_2
127,8.0,0.05,0.734,BS_2
128,9.0,0.05,0.747,BS_2
129,10.0,0.05,0.754,BS_2
130,1.0,0.05,0.702,BS_4
131,2.0,0.05,0.694,BS_4
132,3.0,0.05,0.73,BS_4
133,4.0,0.05,0.723,BS_4
134,5.0,0.05,0.726,BS_4
135,6.0,0.05,0.722,BS_4
136,7.0,0.05,0.737,BS_4
137,8.0,0.05,0.737,BS_4
138,9.0,0.05,0.766,BS_4
139,10.0,0.05,0.771,BS_4
140,1.0,0.05,0.677,BS_8
141,2.0,0.05,0.692,BS_8
142,3.0,0.05,0.733,BS_8
143,4.0,0.05,0.719,BS_8
144,5.0,0.05,0.728,BS_8
145,6.0,0.05,0.734,BS_8
146,7.0,0.05,0.734,BS_8
147,8.0,0.05,0.752,BS_8
148,9.0,0.05,0.769,BS_8
149,10.0,0.05,0.768,BS_8
150,1.0,4e-05,0.204,BS_2
151,2.0,4e-05,0.31,BS_2
152,3.0,4e-05,0.401,BS_2
153,4.0,4e-05,0.501,BS_2
154,5.0,4e-05,0.569,BS_2
155,6.0,4e-05,0.601,BS_2
156,7.0,4e-05,0.624,BS_2
157,8.0,4e-05,0.635,BS_2
158,9.0,4e-05,0.634,BS_2
159,10.0,4e-05,0.636,BS_2
160,1.0,4e-05,0.102,BS_4
161,2.0,4e-05,0.185,BS_4
162,3.0,4e-05,0.255,BS_4
163,4.0,4e-05,0.308,BS_4
164,5.0,4e-05,0.365,BS_4
165,6.0,4e-05,0.414,BS_4
166,7.0,4e-05,0.475,BS_4
167,8.0,4e-05,0.514,BS_4
168,9.0,4e-05,0.521,BS_4
169,10.0,4e-05,0.524,BS_4
170,1.0,4e-05,0.053,BS_8
171,2.0,4e-05,0.151,BS_8
172,3.0,4e-05,0.192,BS_8
173,4.0,4e-05,0.218,BS_8
174,5.0,4e-05,0.255,BS_8
175,6.0,4e-05,0.287,BS_8
176,7.0,4e-05,0.311,BS_8
177,8.0,4e-05,0.335,BS_8
178,9.0,4e-05,0.338,BS_8
179,10.0,4e-05,0.34,BS_8
