,Gene,Border,Divide,Uninfect,Infect
252,Plate_03/Scramble/008024-2,29,2,63,27
253,Plate_03/Scramble/008024-3,27,6,80,20
254,Plate_03/Scramble/008024-4,31,3,69,25
255,Plate_03/Scramble/008024-5,29,2,53,25
256,Plate_03/Scramble/011003-1,21,6,72,24
257,Plate_03/Scramble/011003-2,35,4,95,16
258,Plate_03/Scramble/011003-3,24,2,129,11
259,Plate_03/Scramble/011003-4,29,3,55,21
260,Plate_03/Scramble/011022-1,27,1,94,26
261,Plate_03/Scramble/011022-2,36,2,75,17
262,Plate_03/Scramble/011022-3,33,7,95,31
263,Plate_03/Scramble/011022-5,36,3,140,11
264,Plate_04/Scramble/001003-1,31,3,79,32
265,Plate_04/Scramble/001003-2,32,3,90,28
266,Plate_04/Scramble/001003-3,28,7,122,17
267,Plate_04/Scramble/001003-5,38,3,170,22
268,Plate_04/Scramble/001022-1,21,2,52,23
269,Plate_04/Scramble/001022-3,27,3,57,28
270,Plate_04/Scramble/001022-4,19,5,53,33
271,Plate_04/Scramble/001022-5,25,2,70,24
272,Plate_04/Scramble/008001-2,29,1,73,11
273,Plate_04/Scramble/008001-3,31,7,92,19
274,Plate_04/Scramble/008001-4,23,0,73,17
275,Plate_04/Scramble/008001-5,34,0,128,5
276,Plate_04/Scramble/008024-1,29,5,70,21
277,Plate_04/Scramble/008024-2,33,5,84,15
278,Plate_04/Scramble/008024-4,34,8,122,28
279,Plate_04/Scramble/008024-5,37,4,146,12
280,Plate_04/Scramble/011003-1,29,7,142,17
281,Plate_04/Scramble/011003-2,30,9,125,12
282,Plate_04/Scramble/011003-3,33,6,133,17
283,Plate_04/Scramble/011003-5,29,1,132,20
284,Plate_04/Scramble/011022-1,12,0,26,12
285,Plate_04/Scramble/011022-3,28,7,98,21
286,Plate_04/Scramble/011022-4,24,2,74,18
287,Plate_04/Scramble/011022-5,30,4,88,22
288,Plate_07/Scramble/001003-1,37,5,131,8
289,Plate_07/Scramble/001003-2,32,5,112,14
